Epoch 1/3
Iteration 19200, Loss: 0.6467
Iteration 19300, Loss: 0.6467
Iteration 19400, Loss: 0.6464
Iteration 19500, Loss: 0.6465
Iteration 19600, Loss: 0.6466
Iteration 19700, Loss: 0.6467
Iteration 19800, Loss: 0.6469
Iteration 19900, Loss: 0.6469
Iteration 20000, Loss: 0.6470
Iteration 20100, Loss: 0.6471
Iteration 20200, Loss: 0.6471
Iteration 20300, Loss: 0.6471
Iteration 20400, Loss: 0.6470
Iteration 20500, Loss: 0.6468
Iteration 20600, Loss: 0.6470
Iteration 20700, Loss: 0.6470
Iteration 20800, Loss: 0.6468
Iteration 20900, Loss: 0.6469
Iteration 21000, Loss: 0.6468
Iteration 21100, Loss: 0.6470
Iteration 21200, Loss: 0.6471
Iteration 21300, Loss: 0.6471
Iteration 21400, Loss: 0.6470
Iteration 21500, Loss: 0.6471
Iteration 21600, Loss: 0.6471
Iteration 21700, Loss: 0.6472
Iteration 21800, Loss: 0.6471
Iteration 21900, Loss: 0.6471
Iteration 22000, Loss: 0.6470
Iteration 22100, Loss: 0.6469
Iteration 22200, Loss: 0.6468
Iteration 22300, Loss: 0.6467
Iteration 22400, Loss: 0.6467
Iteration 22500, Loss: 0.6468
Iteration 22600, Loss: 0.6468
Iteration 22700, Loss: 0.6468
Iteration 22800, Loss: 0.6466
Iteration 22900, Loss: 0.6466
Iteration 23000, Loss: 0.6466
Iteration 23100, Loss: 0.6467
Iteration 23200, Loss: 0.6467
Iteration 23300, Loss: 0.6466
Iteration 23400, Loss: 0.6466
Iteration 23500, Loss: 0.6465
Iteration 23600, Loss: 0.6465
Iteration 23700, Loss: 0.6466
Iteration 23800, Loss: 0.6464
Iteration 23900, Loss: 0.6462
Iteration 24000, Loss: 0.6462
Iteration 24100, Loss: 0.6462
Iteration 24200, Loss: 0.6461
Iteration 24300, Loss: 0.6461
Iteration 24400, Loss: 0.6461
Iteration 24500, Loss: 0.6461
Iteration 24600, Loss: 0.6461
Iteration 24700, Loss: 0.6464
Iteration 24800, Loss: 0.6463
Iteration 24900, Loss: 0.6464
Iteration 25000, Loss: 0.6463
Iteration 25100, Loss: 0.6464
Iteration 25200, Loss: 0.6463
Iteration 25300, Loss: 0.6464
Iteration 25400, Loss: 0.6464
Iteration 25500, Loss: 0.6462
Iteration 25600, Loss: 0.6461
Iteration 25700, Loss: 0.6460
Iteration 25800, Loss: 0.6460
Iteration 25900, Loss: 0.6460
Iteration 26000, Loss: 0.6460
Iteration 26100, Loss: 0.6459
Iteration 26200, Loss: 0.6460
Iteration 26300, Loss: 0.6459
Iteration 26400, Loss: 0.6458
Iteration 26500, Loss: 0.6458
Iteration 26600, Loss: 0.6459
Iteration 26700, Loss: 0.6460
Iteration 26800, Loss: 0.6460
Iteration 26900, Loss: 0.6461
Iteration 27000, Loss: 0.6460
Iteration 27100, Loss: 0.6460
Iteration 27200, Loss: 0.6458
Iteration 27300, Loss: 0.6458
Iteration 27400, Loss: 0.6457
Iteration 27500, Loss: 0.6457
Iteration 27600, Loss: 0.6458
Iteration 27700, Loss: 0.6458
Iteration 27800, Loss: 0.6458
Iteration 27900, Loss: 0.6460
